date,region,app,compliance_score
2025-02-27,Asia,Facebook,80.23288247972413
2025-01-25,Europe,WhatsApp,78.2711558584974
2025-09-17,Asia,WhatsApp,74.5519431977178
2025-08-01,Asia,Facebook,97.9026552384099
2025-04-25,Africa,Facebook,75.30487610673522
2025-07-07,South America,Messenger,73.57951701134515
2025-09-17,North America,WhatsApp,75.78034626960347
2025-05-16,North America,Messenger,93.1414518028034
2025-03-31,North America,Facebook,96.68587704948644
2025-08-09,South America,Messenger,94.32740369489272
2025-01-16,Europe,Instagram,86.89715658613855
2025-05-27,North America,Facebook,99.8165275233317
2025-04-11,North America,WhatsApp,72.06562193480346
2025-08-07,North America,WhatsApp,96.01575033464877
2025-02-14,Europe,Messenger,82.83141585141307
2025-03-04,South America,Facebook,83.653670461164
2025-03-07,South America,WhatsApp,73.82784680953841
2025-04-29,Europe,Messenger,71.00298923061486
2025-08-22,Africa,Messenger,79.498849782083
2025-01-08,Asia,Facebook,75.24560599341788
2025-07-14,Europe,WhatsApp,84.50016268213935
2025-08-15,Asia,WhatsApp,74.41991578161316
2025-01-27,South America,WhatsApp,74.13783209506828
2025-01-28,Asia,Facebook,96.30936952311548
2025-06-08,North America,Facebook,97.63884103979227
2025-05-25,Asia,Facebook,98.9264862576373
2025-08-22,Asia,Instagram,90.41507328621736
2025-04-18,South America,Messenger,93.13049514387609
2025-07-22,Africa,Instagram,95.07354265727888
2025-09-22,Asia,Instagram,89.76766177361993
2025-01-11,South America,WhatsApp,79.90729314107588
2025-04-05,North America,WhatsApp,74.69160995300572
2025-05-10,Asia,Messenger,77.11819921474451
2025-04-13,Asia,Messenger,95.21242154214887
2025-04-20,North America,Facebook,90.88291714860523
2025-05-11,Europe,WhatsApp,83.67387290578455
2025-07-10,Africa,Instagram,70.88215231541358
2025-04-03,North America,Messenger,77.9861311130165
2025-07-25,North America,Messenger,91.86692479377291
2025-01-29,North America,Instagram,85.3716170528507
2025-07-06,Europe,Facebook,83.06597483447351
2025-06-26,North America,WhatsApp,79.41038202339723
2025-06-05,Europe,WhatsApp,88.20795491731072
2025-09-03,Africa,Instagram,98.99156156115068
2025-07-18,Europe,Facebook,97.03370929892517
2025-04-19,Africa,Instagram,70.91493814252846
2025-03-13,Africa,WhatsApp,84.42861467750338
2025-08-09,Africa,Instagram,79.88407894140843
2025-08-02,South America,Instagram,85.31813987019403
2025-03-16,Africa,WhatsApp,88.18641069615144
2025-08-30,Europe,WhatsApp,76.0008420399264
2025-05-30,South America,WhatsApp,93.44704208644768
2025-06-27,North America,Instagram,84.25204150257899
2025-06-25,North America,Instagram,99.76018164694739
2025-04-14,Asia,Instagram,70.75382157230683
2025-04-29,Africa,Facebook,75.69157528559376
2025-07-19,Asia,Messenger,90.68889401681194
2025-03-11,Africa,Facebook,90.85539239576676
2025-02-26,Africa,Messenger,87.46564673250835
2025-03-07,Europe,WhatsApp,99.15880086071886
2025-02-27,Europe,Messenger,82.45945026159801
2025-04-27,North America,Facebook,82.51110436202558
2025-01-21,South America,WhatsApp,97.3142908967252
2025-03-20,North America,Messenger,86.15325345990432
2025-02-16,Africa,Messenger,80.61182984756802
2025-06-20,South America,Messenger,91.56813957501578
2025-03-25,Asia,Instagram,88.59011854562583
2025-04-18,Africa,WhatsApp,79.19230150859775
2025-09-28,Europe,Instagram,78.93786394243646
2025-06-25,North America,WhatsApp,81.86838392581764
2025-03-11,North America,Messenger,72.14860196980581
2025-06-15,Asia,Messenger,98.27850707462918
2025-02-27,North America,Facebook,75.49060120589995
2025-09-02,North America,Messenger,75.81472906983161
2025-02-14,South America,Instagram,89.41115215051232
2025-06-21,Africa,Instagram,91.72741141899434
2025-09-21,South America,Messenger,92.10506378799617
2025-03-07,South America,Instagram,81.25225070512693
2025-07-08,North America,Messenger,96.19986858729777
2025-03-12,Africa,Facebook,86.31997185244133
2025-02-05,North America,Facebook,83.15762656487667
2025-08-27,North America,Messenger,94.31159382597002
2025-03-09,South America,Facebook,77.30683747671513
2025-04-18,Europe,Messenger,95.80556330306558
2025-07-27,Europe,Instagram,86.16488183694783
2025-07-29,South America,Messenger,97.00174473019409
2025-04-17,South America,WhatsApp,76.04837593167278
2025-01-16,North America,WhatsApp,98.08189228007278
2025-08-27,Africa,Messenger,90.6363022591717
2025-08-10,North America,Messenger,88.54985580407157
2025-09-13,North America,Messenger,82.66202558449022
2025-05-25,Asia,Facebook,98.68944999897172
2025-06-13,North America,WhatsApp,83.31758884934538
2025-01-12,Africa,Messenger,84.95628857342727
2025-02-19,North America,Messenger,93.44494325755937
2025-01-12,South America,Instagram,78.54527288838119
2025-07-09,Africa,Instagram,78.74485938441376
2025-04-03,South America,Facebook,93.25893062863659
2025-05-10,Asia,Facebook,73.85739367570324
2025-08-02,Asia,WhatsApp,94.6889356087907
2025-06-24,Africa,WhatsApp,88.75525024929544
2025-07-20,Europe,Messenger,86.17251299209813
2025-04-15,Europe,WhatsApp,76.87328146539645
2025-08-19,Africa,Messenger,93.59104508033226
2025-04-08,Africa,Facebook,94.14859268526247
2025-04-13,South America,Facebook,84.48825603629554
2025-02-10,Asia,Facebook,81.67506924571626
2025-05-31,Africa,Instagram,77.38485512571819
2025-09-25,North America,WhatsApp,92.62702051267524
2025-02-25,South America,Facebook,89.18355769380119
2025-01-16,Asia,Facebook,76.19893088100574
2025-08-10,South America,Facebook,93.83404239054703
2025-06-28,Asia,WhatsApp,96.46615940075378
2025-05-14,North America,WhatsApp,71.77741788244738
2025-09-15,Asia,Instagram,93.17261914072124
2025-03-03,South America,Instagram,95.58405800282958
2025-05-03,Asia,Instagram,99.74523698423641
2025-02-11,South America,Instagram,77.128044968121
2025-02-21,Africa,Facebook,81.13009615642758
2025-03-08,North America,Messenger,98.98573276602637
2025-02-28,South America,Instagram,72.82046650880753
2025-02-04,Europe,Messenger,85.71123531744263
2025-05-16,Europe,Facebook,85.20233739513662
2025-03-17,Asia,Facebook,88.1964321664349
2025-08-30,Africa,WhatsApp,79.9237784453887
2025-08-09,Africa,Messenger,97.77754266015374
2025-03-26,Europe,Messenger,78.10183782877218
2025-05-03,Asia,Facebook,89.49086552753207
2025-07-14,Africa,WhatsApp,84.87781068264809
2025-04-12,Africa,Instagram,78.00020357440239
2025-01-03,Asia,Instagram,75.6656138716728
2025-09-04,South America,WhatsApp,98.69686372772978
2025-05-28,Europe,WhatsApp,86.83874384787357
2025-07-18,Africa,Instagram,88.12572736673326
2025-05-01,South America,Facebook,93.48686377125935
2025-06-18,South America,Facebook,72.4367997579935
2025-01-01,South America,WhatsApp,91.41292803390337
2025-04-19,South America,Facebook,74.95420412716962
2025-01-10,North America,Facebook,92.21443255229369
2025-05-07,North America,Messenger,74.23986014882132
2025-06-06,Asia,Instagram,94.97481099620788
2025-08-19,Europe,WhatsApp,90.43048782181037
2025-01-15,Asia,Instagram,81.57670866557261
2025-02-15,North America,Messenger,80.7650333170775
2025-04-16,Asia,Facebook,74.46841190667759
2025-01-03,Asia,Facebook,97.1216006729835
2025-09-10,South America,Messenger,73.55587818546437
2025-01-22,Africa,Instagram,84.16232165587377
2025-02-24,North America,Messenger,77.0955536436941
2025-04-20,North America,Facebook,99.88982524057079
2025-08-11,Asia,Facebook,87.57532154556094
2025-09-05,Africa,Instagram,74.48753510173039
2025-05-16,Asia,Facebook,90.02691992865421
2025-09-03,Europe,Instagram,99.74827051667654
2025-03-11,North America,WhatsApp,88.15129841846122
2025-01-18,South America,Facebook,83.72137283668583
2025-07-05,South America,Facebook,78.79810364855965
2025-04-27,South America,Instagram,72.76370244486304
2025-09-14,North America,WhatsApp,76.84738896969662
2025-04-05,North America,Facebook,86.60862338694622
2025-04-25,South America,Facebook,92.61357095948748
2025-03-03,North America,WhatsApp,96.33792670688949
2025-05-04,South America,Facebook,93.81136751118011
