date,region,app,resolution_time
2025-05-12,Europe,Instagram,6.196846540746947
2025-06-25,South America,WhatsApp,3.8786109824735755
2025-02-21,South America,WhatsApp,5.118103404404824
2025-02-07,Europe,WhatsApp,5.537475830197322
2025-01-05,Africa,Facebook,3.356479432463274
2025-08-01,Africa,Messenger,4.634975599460732
2025-04-30,Asia,Messenger,5.707729219814288
2025-07-28,Asia,Facebook,6.455244401716165
2025-08-05,Africa,WhatsApp,3.582561212263356
2025-01-24,Africa,WhatsApp,2.309383093680775
2025-07-24,Africa,Facebook,4.875451216395081
2025-08-14,Africa,Facebook,4.343237646441771
2025-08-06,South America,Instagram,4.045521287074036
2025-07-30,Asia,Facebook,3.2209849396214123
2025-01-26,Europe,Messenger,5.326225737823519
2025-09-09,North America,Facebook,3.1170369815472156
2025-01-03,Europe,WhatsApp,2.987042178512366
2025-01-02,North America,WhatsApp,3.801563195276138
2025-04-02,South America,WhatsApp,5.393323302215927
2025-01-02,Asia,Messenger,1.9654009656230018
2025-05-30,North America,Messenger,2.4777435607164278
2025-03-12,Africa,Instagram,2.77062909037908
2025-01-04,South America,Facebook,6.974862721332848
2025-02-07,North America,Instagram,4.423797020641744
2025-03-11,Africa,Facebook,2.4358124343560843
2025-07-20,South America,Facebook,3.8035740154365216
2025-09-09,North America,Messenger,5.15975752746748
2025-06-03,Africa,WhatsApp,6.999926221568109
2025-05-13,Asia,Facebook,1.6924484720522965
2025-03-15,South America,Messenger,2.3880084109413753
2025-09-28,North America,Instagram,3.492514797844289
2025-07-04,Africa,WhatsApp,3.545391650926252
2025-01-05,Asia,Instagram,3.5213147093645665
2025-03-27,Africa,Instagram,3.8316255261857517
2025-08-02,Asia,Messenger,7.043070750275335
2025-01-15,North America,WhatsApp,2.101409802385037
2025-02-20,Africa,Facebook,4.239734488163184
2025-09-10,Africa,Instagram,4.841463275816743
2025-02-14,Europe,Facebook,1.8225249223990323
2025-07-10,South America,WhatsApp,6.151308528481511
2025-05-02,Africa,Messenger,3.764768535577091
2025-07-06,Asia,Messenger,2.3744529294445123
2025-08-02,South America,Messenger,6.320151846440846
2025-05-29,North America,Facebook,5.021918351988156
2025-06-19,South America,Facebook,3.1860151462290895
2025-07-28,Europe,WhatsApp,5.087506125612714
2025-03-23,North America,Facebook,4.581563809541476
2025-07-15,Africa,Messenger,1.6952931946818528
2025-09-03,North America,Instagram,1.8418751454545959
2025-02-09,North America,Instagram,4.505115740399464
2025-06-17,Europe,Instagram,1.3428105607901824
2025-02-12,Asia,Messenger,5.5081542722617085
2025-07-30,North America,Facebook,1.9286976824625173
2025-06-28,Asia,Instagram,5.380981163061724
2025-01-23,South America,Facebook,6.135297292982727
2025-04-05,Europe,Facebook,4.734487657884353
2025-06-09,Africa,Messenger,0.5
2025-09-01,North America,Facebook,5.680484590295837
2025-01-17,Asia,Facebook,3.345169002967645
2025-04-22,North America,Messenger,3.913613512151738
2025-04-13,Europe,WhatsApp,2.8850585039509435
2025-03-27,Africa,Instagram,6.523178118070243
2025-02-04,South America,Instagram,4.266131382356952
2025-01-30,South America,Facebook,3.39082000225103
2025-07-11,Asia,WhatsApp,6.009137603949341
2025-06-28,South America,Messenger,5.319275272351856
2025-04-14,Asia,Facebook,2.3013673757120077
2025-06-14,Africa,Messenger,4.501037844837636
2025-05-02,North America,Instagram,4.330445578293091
2025-05-14,Europe,Messenger,1.7918801597356544
2025-08-12,Africa,Instagram,5.24065032785631
2025-01-25,Africa,Messenger,3.956441266213017
2025-01-13,South America,Messenger,7.226707385852627
2025-08-18,South America,WhatsApp,6.114650712061855
2025-04-12,Europe,Messenger,4.333159425706255
2025-07-22,North America,Facebook,3.8689027820067614
2025-09-24,Africa,WhatsApp,0.9329476226387357
2025-08-10,South America,Facebook,5.263508509516631
2025-04-14,Africa,Messenger,3.8974256594289765
2025-04-21,North America,Messenger,3.2988585578465304
2025-03-10,Asia,WhatsApp,4.032265673334375
2025-09-15,North America,Instagram,6.329305945837651
2025-06-17,Africa,WhatsApp,6.046970250990217
2025-02-18,Africa,Instagram,6.042833879603046
2025-09-07,Europe,Instagram,2.4426506230603424
2025-03-16,Africa,Messenger,6.369464300118439
