date,region,app,severity
2025-04-13,North America,Instagram,medium
2025-09-28,Asia,WhatsApp,low
2025-04-17,North America,Messenger,low
2025-03-13,South America,WhatsApp,medium
2025-07-08,Asia,Facebook,low
2025-01-21,Africa,Messenger,low
2025-04-13,Asia,Facebook,low
2025-05-02,South America,Messenger,low
2025-08-03,Africa,Facebook,medium
2025-03-29,Asia,Messenger,high
2025-04-10,North America,Facebook,low
2025-06-01,Europe,Messenger,low
2025-05-11,Europe,Facebook,medium
2025-05-30,North America,Messenger,high
2025-09-15,Europe,Facebook,low
2025-07-11,Europe,Instagram,low
2025-06-10,North America,WhatsApp,medium
2025-01-22,North America,Messenger,medium
2025-09-10,Asia,Facebook,low
2025-08-24,Asia,Instagram,medium
2025-02-18,North America,Messenger,low
2025-02-28,South America,Messenger,low
2025-06-19,Europe,Messenger,low
2025-07-07,Asia,WhatsApp,medium
2025-09-28,Europe,Facebook,low
2025-07-09,Africa,Facebook,low
2025-06-24,North America,Messenger,low
2025-02-20,South America,Messenger,medium
2025-02-24,Africa,Messenger,low
2025-09-01,Africa,Instagram,low
2025-05-11,Africa,Messenger,low
2025-05-15,North America,WhatsApp,medium
2025-01-21,Asia,Facebook,low
2025-06-16,North America,WhatsApp,low
2025-03-30,Asia,Messenger,low
2025-01-14,Africa,Instagram,medium
2025-08-30,Africa,Messenger,low
2025-09-22,South America,Messenger,medium
2025-02-22,Asia,Messenger,medium
2025-04-02,Africa,Messenger,high
2025-09-21,Europe,Messenger,low
2025-02-04,South America,Facebook,high
2025-07-25,North America,WhatsApp,low
2025-03-22,South America,Instagram,low
2025-02-19,Europe,Messenger,medium
2025-01-02,Asia,Instagram,low
2025-02-23,North America,Facebook,low
2025-04-16,North America,WhatsApp,low
2025-09-17,Asia,Messenger,medium
2025-07-10,South America,Facebook,low
2025-08-06,Africa,Facebook,medium
2025-02-13,South America,WhatsApp,medium
2025-06-11,Europe,Messenger,medium
2025-07-21,Africa,WhatsApp,low
2025-09-27,South America,WhatsApp,high
2025-09-28,Asia,Instagram,low
2025-08-03,Europe,Instagram,low
2025-09-09,Europe,WhatsApp,low
2025-07-09,Europe,Instagram,low
2025-08-01,Africa,Facebook,low
2025-07-27,North America,WhatsApp,low
2025-08-25,Africa,Messenger,low
2025-02-22,South America,Messenger,low
2025-08-05,North America,Facebook,medium
2025-09-09,South America,Messenger,medium
2025-07-07,North America,Messenger,medium
2025-02-10,Africa,WhatsApp,low
2025-06-06,Europe,Facebook,low
2025-01-15,Asia,WhatsApp,high
2025-03-06,Europe,Facebook,low
2025-01-09,Africa,WhatsApp,medium
2025-05-09,North America,WhatsApp,low
2025-05-16,Europe,Instagram,high
2025-03-04,Africa,Messenger,low
2025-05-19,South America,Facebook,low
2025-03-22,Asia,Messenger,medium
2025-06-12,Europe,Instagram,low
2025-09-18,North America,Facebook,low
2025-08-19,South America,Instagram,low
2025-02-10,Africa,Messenger,medium
2025-01-28,Asia,WhatsApp,low
2025-05-15,North America,Instagram,low
2025-07-20,Africa,Instagram,low
2025-09-25,Africa,WhatsApp,low
2025-02-02,Europe,Messenger,medium
2025-02-17,Europe,Instagram,low
2025-03-03,North America,Messenger,low
2025-08-04,Africa,WhatsApp,low
2025-04-09,Europe,Facebook,low
2025-06-21,Asia,Instagram,low
2025-08-02,Asia,Messenger,low
2025-02-04,Africa,WhatsApp,low
2025-08-15,Europe,WhatsApp,high
2025-04-11,North America,Instagram,low
2025-05-11,North America,Facebook,medium
2025-09-14,North America,Instagram,low
2025-01-05,Asia,Messenger,low
2025-08-06,Europe,WhatsApp,low
2025-09-12,Europe,Facebook,low
2025-07-26,Asia,Messenger,high
2025-01-15,North America,Instagram,high
2025-02-11,North America,WhatsApp,medium
2025-06-28,Africa,Instagram,medium
2025-03-04,South America,Facebook,low
2025-08-19,Europe,Facebook,low
2025-08-29,Europe,Facebook,high
2025-02-21,Europe,Facebook,medium
2025-04-06,South America,Facebook,low
2025-08-10,Africa,Instagram,low
2025-08-19,South America,Facebook,low
2025-08-25,North America,Facebook,high
2025-05-23,North America,WhatsApp,low
2025-06-20,Europe,Facebook,low
2025-01-29,Asia,WhatsApp,low
2025-02-05,Europe,WhatsApp,medium
2025-01-13,Asia,WhatsApp,low
2025-06-09,South America,Instagram,medium
2025-07-06,North America,Instagram,low
2025-08-31,Asia,Messenger,medium
2025-03-27,South America,Messenger,medium
2025-03-07,North America,WhatsApp,low
2025-06-19,Asia,Instagram,low
2025-02-14,Europe,Facebook,low
2025-03-03,Europe,Messenger,low
2025-05-14,Europe,Instagram,medium
2025-01-28,South America,Facebook,low
2025-04-18,Europe,Facebook,low
2025-02-13,Africa,Instagram,low
2025-05-08,North America,Messenger,low
2025-08-19,South America,Instagram,medium
2025-07-09,Europe,Messenger,low
2025-08-13,North America,WhatsApp,high
2025-05-01,Asia,Instagram,high
2025-04-26,Europe,Instagram,low
2025-08-21,North America,Messenger,low
